run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
42,1000,20,10,0.4,True,0.2,0.1,27081,3010,0.021552611269366553,0.013336911301384232,0.46851460087694163,0.9401993355481728,31.954555988311768
43,1500,20,5,0.3,False,0.225,0.1,27264,3030,0.0226905960311401,0.013548041841862122,0.4763044969982,0.9336633663366337,42.91598701477051
44,2000,20,2,0.3,False,0.225,0.1,27264,3030,0.022653409982044473,0.013417231134941695,0.47801958718149673,0.9283828382838284,68.30126786231995
45,1500,30,1,0.3,True,0.3,0.15,26010,4590,0.027793816722557606,0.015059003305716709,0.42741326459757445,0.8749455337690631,74.81976699829102
46,1000,None,2,0.7,False,0.35,0.2,24677,6170,0.03432860089445208,0.017114615551567233,0.4157799396874633,0.8876823338735819,64.64233183860779
47,1000,25,1,0.4,True,0.3,0.15,26010,4590,0.02769734354336242,0.01499637652963362,0.43138129782620005,0.8923747276688453,50.9549880027771
48,1000,None,1,0.6,False,0.25,0.1,27375,3042,0.025321010286450642,0.014343057133923361,0.40322446336972817,0.8655489809335963,76.35285496711731
49,1500,None,7,0.6,True,0.225,0.1,27264,3030,0.022614406953662437,0.013382985698552553,0.4798154572682952,0.9254125412541254,68.45888710021973
50,1000,25,5,0.7,False,0.2,0.25,22568,7523,0.02189115422147063,0.013453091228430131,0.4666634948992152,0.9174531436926758,43.31213593482971
51,1500,None,10,sqrt,True,0.2,0.15,25577,4514,0.022231749998889095,0.013710236817602008,0.4449358989059349,0.9322108994240141,29.469889879226685
52,2000,50,2,0.6,False,0.2,0.2,24072,6019,0.021569092850293858,0.013170265300705924,0.47859300989045606,0.8945007476324971,106.6213309764862
53,500,40,1,log2,False,0.225,0.25,22720,7574,0.023893924937408495,0.014211198601872834,0.42842740359181597,0.8723263797200951,19.99430823326111
54,1500,25,7,0.7,True,0.225,0.2,24235,6059,0.023307535728589002,0.013850672160300453,0.45926709560138634,0.9301864994223469,67.24686598777771
55,1000,20,5,0.4,False,0.25,0.1,27375,3042,0.024632019726631094,0.01420825498077242,0.4352594141152225,0.9345825115055885,35.083842754364014
56,1000,40,5,0.6,False,0.2,0.15,25577,4514,0.02146212090643388,0.013182144692749647,0.4827016248435543,0.9200265839610102,44.39403486251831
57,1000,50,5,0.4,False,0.225,0.25,22720,7574,0.02337960661001122,0.013993675373390304,0.45276885421494006,0.919197253762873,31.412551879882812
58,1000,40,7,sqrt,False,0.2,0.1,27081,3010,0.02123059404949524,0.013128700497787991,0.48427778547161304,0.9365448504983389,22.298970222473145
