feature,sigma,cv_r2
LAB,3.196428571428571,0.43217337131500244
LAB,3.4642857142857144,0.43215694427490237
LAB,3.732142857142857,0.4321437358856201
LAB,4.0,0.4321329712867737
REVEAL_S80,0.25,0.42837473154067995
REVEAL_S80,0.5178571428571428,0.43217345476150515
REVEAL_S80,0.7857142857142857,0.4325967788696289
REVEAL_S80,1.0535714285714286,0.4327036261558533
REVEAL_S80,1.3214285714285714,0.43274391889572145
REVEAL_S80,1.5892857142857142,0.43276305198669435
REVEAL_S80,1.8571428571428572,0.43277367353439333
REVEAL_S80,2.125,0.43278013467788695
REVEAL_S80,2.392857142857143,0.4327844023704529
REVEAL_S80,2.6607142857142856,0.4327873229980469
REVEAL_S80,2.9285714285714284,0.4327894330024719
REVEAL_S80,3.196428571428571,0.43279101848602297
REVEAL_S80,3.4642857142857144,0.43279223442077636
REVEAL_S80,3.732142857142857,0.4327931761741638
REVEAL_S80,4.0,0.4327939510345459
SEDIMENT,0.25,0.4310623049736023
SEDIMENT,0.5178571428571428,0.43287655115127566
SEDIMENT,0.7857142857142857,0.4327096700668335
SEDIMENT,1.0535714285714286,0.4324334740638733
SEDIMENT,1.3214285714285714,0.4322420239448547
SEDIMENT,1.5892857142857142,0.43211992979049685
SEDIMENT,1.8571428571428572,0.4320412874221802
SEDIMENT,2.125,0.4319889545440674
SEDIMENT,2.392857142857143,0.43195271492004395
SEDIMENT,2.6607142857142856,0.4319267630577087
SEDIMENT,2.9285714285714284,0.4319075345993042
SEDIMENT,3.196428571428571,0.4318929433822632
SEDIMENT,3.4642857142857144,0.43188161849975587
SEDIMENT,3.732142857142857,0.4318726062774658
SEDIMENT,4.0,0.43186538219451903
REVEAL_VP50VS80,0.25,0.4282692909240723
REVEAL_VP50VS80,0.5178571428571428,0.43277496099472046
REVEAL_VP50VS80,0.7857142857142857,0.43187359571456907
REVEAL_VP50VS80,1.0535714285714286,0.4312353491783142
REVEAL_VP50VS80,1.3214285714285714,0.43096582889556884
REVEAL_VP50VS80,1.5892857142857142,0.4308508038520813
REVEAL_VP50VS80,1.8571428571428572,0.43079944849014284
REVEAL_VP50VS80,2.125,0.4307760834693909
REVEAL_VP50VS80,2.392857142857143,0.43076558113098146
REVEAL_VP50VS80,2.6607142857142856,0.43076108694076537
REVEAL_VP50VS80,2.9285714285714284,0.4307594418525696
REVEAL_VP50VS80,3.196428571428571,0.4307591080665588
REVEAL_VP50VS80,3.4642857142857144,0.4307593941688538
REVEAL_VP50VS80,3.732142857142857,0.430759871006012
REVEAL_VP50VS80,4.0,0.4307604551315308
CRUST_RHO,0.25,0.42140214443206786
CRUST_RHO,0.5178571428571428,0.430364191532135
CRUST_RHO,0.7857142857142857,0.4326354503631592
CRUST_RHO,1.0535714285714286,0.4332034707069397
CRUST_RHO,1.3214285714285714,0.43331477642059324
CRUST_RHO,1.5892857142857142,0.4332910180091858
CRUST_RHO,1.8571428571428572,0.4332286834716797
CRUST_RHO,2.125,0.4331606388092041
CRUST_RHO,2.392857142857143,0.43309797048568727
CRUST_RHO,2.6607142857142856,0.43304369449615476
CRUST_RHO,2.9285714285714284,0.4329978108406067
CRUST_RHO,3.196428571428571,0.43295927047729493
CRUST_RHO,3.4642857142857144,0.4329270124435425
CRUST_RHO,3.732142857142857,0.43289985656738283
CRUST_RHO,4.0,0.432876980304718
MOHO,0.25,0.43252767324447633
MOHO,0.5178571428571428,0.43215939998626707
MOHO,0.7857142857142857,0.4314736366271973
MOHO,1.0535714285714286,0.4310370922088623
MOHO,1.3214285714285714,0.43074913024902345
MOHO,1.5892857142857142,0.4305641531944275
MOHO,1.8571428571428572,0.43044238090515136
MOHO,2.125,0.4303591251373291
MOHO,2.392857142857143,0.43030017614364624
MOHO,2.6607142857142856,0.4302570462226868
MOHO,2.9285714285714284,0.43022459745407104
MOHO,3.196428571428571,0.4301996350288391
MOHO,3.4642857142857144,0.430180037021637
MOHO,3.732142857142857,0.43016440868377687
MOHO,4.0,0.4301516890525818
SI,0.25,0.41881481409072874
SI,0.5178571428571428,0.42866129875183107
SI,0.7857142857142857,0.4318802833557129
SI,1.0535714285714286,0.433058488368988
SI,1.3214285714285714,0.43350160121917725
SI,1.5892857142857142,0.43369159698486326
SI,1.8571428571428572,0.4337785363197327
SI,2.125,0.4338183641433716
SI,2.392857142857143,0.43383547067642214
SI,2.6607142857142856,0.43384149074554446
SI,2.9285714285714284,0.43384202718734743
SI,3.196428571428571,0.4338399648666382
SI,3.4642857142857144,0.43383675813674927
SI,3.732142857142857,0.4338331580162048
SI,4.0,0.4338295340538025
EMAG2_LOG,0.25,0.38917710781097414
EMAG2_LOG,0.5178571428571428,0.4173393130302429
EMAG2_LOG,0.7857142857142857,0.4275393605232239
EMAG2_LOG,1.0535714285714286,0.43136024475097656
EMAG2_LOG,1.3214285714285714,0.43283321857452395
EMAG2_LOG,1.5892857142857142,0.43342032432556155
EMAG2_LOG,1.8571428571428572,0.43364012241363525
EMAG2_LOG,2.125,0.43370153903961184
EMAG2_LOG,2.392857142857143,0.4336933970451355
EMAG2_LOG,2.6607142857142856,0.4336555480957031
EMAG2_LOG,2.9285714285714284,0.4336066722869873
EMAG2_LOG,3.196428571428571,0.43355545997619627
EMAG2_LOG,3.4642857142857144,0.43350595235824585
EMAG2_LOG,3.732142857142857,0.4334599256515503
EMAG2_LOG,4.0,0.43341798782348634
