run,n_feats,r2,rmse,features
37,32,0.42210987612271755,0.034142121788184994,"MOHO,MOHO_GRAV,DEM,LAB,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S90,REVEAL_P150,REVEAL_VP60VS70,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,SEDIMENT,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,CTD,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U,MOHO_U"
38,26,0.41731351171777864,0.03428351516428406,"MOHO,MOHO_GRAV,LAB,FREE_AIR,BOUGUER,REVEAL_S80,REVEAL_P180,REVEAL_P150,REVEAL_VP90VS60,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,SEDIMENT,REVEAL_S_DIFF_200_220,CTD,EMAG2_LOG,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U"
39,11,0.4049048283577511,0.034646636868572916,"MOHO,BOUGUER,SI,REVEAL_S80,CRUST_RHO,SEDIMENT,CTD,EMAG2_LOG,REVEAL_S50,REVEAL_S100,REVEAL_S220"
40,24,0.4155569966498468,0.034335150303722174,"MOHO,MOHO_GRAV,DEM,LAB,BOUGUER,SI,GEOID,REVEAL_S90,REVEAL_P150,REVEAL_VP60VS70,REVEAL_VP90VS60,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,CTD,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S50,REVEAL_S100,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P210,MOHO_GRAV_U"
41,34,0.4215025233819464,0.03416005847274698,"MOHO,MOHO_GRAV,DEM,LAB,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S80,REVEAL_S90,REVEAL_P180,REVEAL_P150,REVEAL_VP60VS70,REVEAL_VP90VS60,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,SEDIMENT,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,CTD,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_P40,REVEAL_P60,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U,MOHO_U"
42,12,0.4091786258673322,0.034522001742980334,"DEM,BOUGUER,REVEAL_S80,REVEAL_VP90VS60,CRUST_RHO,EMAG2_LOG,REVEAL_S50,REVEAL_S200,REVEAL_P60,REVEAL_P120,MOHO_GRAV_U,MOHO_U"
43,24,0.42243619431127766,0.03413248088232875,"MOHO,MOHO_GRAV,DEM,FREE_AIR,SI,GEOID,REVEAL_S80,REVEAL_P180,REVEAL_P150,REVEAL_VP60VS70,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,SEDIMENT,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,EMAG2_LOG,REVEAL_S100,REVEAL_S200,REVEAL_P40,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_U"
44,27,0.4221983800217002,0.034139507254318094,"MOHO,MOHO_GRAV,DEM,LAB,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S80,REVEAL_S90,REVEAL_VP60VS70,REVEAL_VP90VS60,LITH_RHO,MAG_SEIS_MOHO,SEDIMENT,REVEAL_P_DIFF_40_60,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S50,REVEAL_S100,REVEAL_S200,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U,MOHO_U"
45,16,0.4148705145502255,0.03435530928293634,"MOHO,FREE_AIR,BOUGUER,SI,REVEAL_S80,REVEAL_S90,REVEAL_VP90VS60,MAG_SEIS_MOHO,SEDIMENT,REVEAL_S140,REVEAL_S200,REVEAL_P40,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U"
46,11,0.4126714173836813,0.03441980766541471,"DEM,FREE_AIR,REVEAL_S90,CRUST_RHO,MAG_SEIS_MOHO,REVEAL_S_DIFF_200_220,EMAG2_LOG,REVEAL_S50,REVEAL_S140,REVEAL_P120,MOHO_U"
