n_feats,features,r2,rmse
14,EMAG2_LOG|LITH_RHO|LAB|REVEAL_S80|CTD|SI|REVEAL_S90|BOUGUER|MOHO_GRAV|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.40089999740794313,0.034763022673972535
19,REVEAL_P150|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41170461706612904,0.03444812520255847
8,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MOHO|REVEAL_S70|SEDIMENT,0.3910201138002428,0.03504849269371277
9,REVEAL_VP50VS80|MAG_SEIS_MOHO|MOHO|CTD|REVEAL_S90|BOUGUER|REVEAL_VP90VS60|GEOID|REVEAL_S100,0.3962966379268861,0.03489632300928026
21,REVEAL_P150|EMAG2_LOG|CRUST_RHO|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41175474304523507,0.03444665758710725
10,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LAB|MOHO|REVEAL_S80|DEM|SI|REVEAL_VP60VS70|REVEAL_S100,0.39799761439934056,0.03484712691533851
6,REVEAL_P150|CTD|SI|MOHO_GRAV|SEDIMENT|REVEAL_S100,0.3714660213771309,0.03560674310965811
18,REVEAL_P150|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4179099789119505,0.03426596350628093
9,REVEAL_P150|CRUST_RHO|REVEAL_VP50VS80|CTD|SI|REVEAL_VP60VS70|FREE_AIR|GEOID|REVEAL_S100,0.3892596605974171,0.035099115633085036
11,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|LAB|CTD|DEM|SI|REVEAL_VP60VS70|FREE_AIR|SEDIMENT|REVEAL_S100,0.39544066363234864,0.034921053511674065
12,CRUST_RHO|LITH_RHO|LAB|MOHO|SI|REVEAL_S90|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_S70|SEDIMENT|REVEAL_S100,0.39793985241655694,0.034848798661923364
21,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41595572053013485,0.03432343609031929
15,REVEAL_P150|EMAG2_LOG|CRUST_RHO|LITH_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_VP60VS70|FREE_AIR|GEOID|SEDIMENT|REVEAL_S100,0.41122421646793117,0.03446218746053703
12,REVEAL_P150|CRUST_RHO|MOHO|REVEAL_S80|CTD|REVEAL_S90|BOUGUER|MOHO_GRAV|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT,0.4026979542996748,0.034710819886151455
7,REVEAL_VP50VS80|LAB|MOHO|REVEAL_S80|CTD|REVEAL_S70|REVEAL_S100,0.3739145074756496,0.035537321494959355
