number,value,datetime_start,datetime_complete,duration,params_BOUGUER,params_CRUST_RHO,params_CTD,params_DEM,params_EMAG2_LOG,params_FREE_AIR,params_GEOID,params_LAB,params_LITH_RHO,params_MAG_SEIS_MOHO,params_MOHO,params_MOHO_GRAV,params_REVEAL_P120,params_REVEAL_P150,params_REVEAL_P180,params_REVEAL_P210,params_REVEAL_P40,params_REVEAL_P60,params_REVEAL_P90,params_REVEAL_P_DIFF_40_60,params_REVEAL_S100,params_REVEAL_S140,params_REVEAL_S200,params_REVEAL_S220,params_REVEAL_S50,params_REVEAL_S80,params_REVEAL_S90,params_REVEAL_S_DIFF_200_220,params_REVEAL_VP60VS70,params_REVEAL_VP90VS60,params_REVEAL_VPVS_DIFF,params_SEDIMENT,params_SI,system_attrs_fixed_params,state
68,0.3639192803754555,2026-04-16 10:32:34.605579,2026-04-16 10:34:56.256083,0 days 00:02:21.650504,0.1129888564387969,0.1041878856371987,0.6561118327390327,1.1518156719309072,3.6288239035612113,0.30248822455171726,0.21944125146013596,0.2291660955683811,0.46150532951248213,0.18802579121094218,0.1512442724862831,0.20973663866511488,0.1368441566743201,0.27589530538044166,0.13904006245488354,0.2034012078594187,4.011352068126546,0.216825665751678,3.193782107271434,4.268803539419534,0.11260690748989452,1.1227724882716432,0.9851456914764851,1.331068416202741,0.40201201423746474,1.1915863509144746,4.394842551453574,0.3320467819548626,0.32110060050446754,0.10323430687225922,0.5944947608014785,1.4290731919020982,1.0926043792180742,,COMPLETE
69,0.3645423953805361,2026-04-16 10:34:56.257093,2026-04-16 10:37:25.168677,0 days 00:02:28.911584,1.8207169759228683,0.19051153480536165,0.5747265048005499,1.615990747432856,4.272135541564493,0.7503449956768854,0.10061159177068218,0.16774293948952118,0.3099528420242569,0.14413319732426863,0.2431218386786763,0.18119534964222248,0.6056209120271323,0.23498431882014306,0.12437481580565553,0.3268381603326629,4.7546474881163725,3.1319057879002483,2.382831118964355,4.055762983175526,0.13916760902917213,2.0317697970508153,3.797425700624006,0.7825401120668819,0.26665922337537634,1.915296196064491,0.18838683795261044,0.21750080408102807,0.20562512763140314,0.3949454018078704,0.5187708318298718,3.0232847046879803,3.6745381989254193,,COMPLETE
70,0.3751427301213744,2026-04-16 10:37:25.171110,2026-04-16 10:39:50.849887,0 days 00:02:25.678777,0.10017492648074422,0.1575571346831539,0.7580325075712229,0.6665295389936116,3.3296755661734294,0.865365196647987,0.14605392647497134,0.20433923479890215,0.6384942174844153,0.27601109595711376,0.17797834573885088,0.2865854847092545,0.11902799139052157,0.14616202149483415,0.5696141385079443,0.14005454841479612,2.542189507332069,0.3587956343393564,4.682933283511126,0.45331097455800545,0.17217729276818006,1.5644422304717673,3.0923179175182454,0.5340814917813592,0.46310055951294843,1.509910431074888,3.5947069538787226,4.67172067245416,0.15667364901825692,1.1729361401957898,0.30747702296736074,2.0854114150435943,2.529550320158482,,COMPLETE
71,0.375612512992055,2026-04-16 10:39:50.852849,2026-04-16 10:42:17.264805,0 days 00:02:26.411956,0.15495300349578867,0.16098975346787386,0.507573316434823,0.6041934135110265,4.436677021888374,0.9973038267855104,0.11610725015945018,0.1843475448288245,0.5314737968359771,0.2084570844995878,0.19738829566138505,0.13145387812678022,0.10268898504288534,0.16979615116993554,0.11342552916648,0.27869013730167824,2.118514952011142,0.9020015602638646,3.667567920736425,3.615437322641027,0.14523559551914744,1.8521014961752542,3.7259073719135243,0.8246404381168992,0.3201855779847011,1.5364861258774294,4.407297884628522,0.2980527519004168,0.31507446646691173,2.8727578857580753,0.445937331237159,1.622899693254601,1.3377764429516974,,COMPLETE
72,0.3782539924616025,2026-04-16 10:42:17.267645,2026-04-16 10:44:47.615841,0 days 00:02:30.348196,0.14151876503810146,0.23192658045795422,0.6146077175268302,0.7700984361926861,4.627386810295963,1.1026170504332287,0.11416000075762385,0.11871619727011604,0.7263274308006952,0.3493942428841543,0.17635939070169673,0.24885857499951985,0.10684781106092105,0.1332052795027802,0.8418988171198682,0.20045328181762748,3.827188759025783,0.8280083491902566,2.2565207186500484,3.080300507855491,0.10170519559323554,1.1914103681323327,4.527510404742909,0.8830787064382938,0.2775566639580424,1.083277850436197,2.984464968874056,0.3462615953977965,0.36346050074859043,2.4019633395976068,0.4826391233404395,1.982947183939647,1.343919743570789,,COMPLETE
73,0.3771468667498268,2026-04-16 10:44:47.617594,2026-04-16 10:47:14.434981,0 days 00:02:26.817387,0.13851367800058215,0.2542556391825141,0.6412522111396475,0.800036012320725,3.5638191652655027,1.427515831937692,0.12221488465946731,0.11708005729012311,0.7197566230261956,0.3368045307059258,0.28379464616442307,0.2115929683847133,0.7804980926158229,0.14448409730353742,1.0218108398291568,0.20670350483673944,2.7176701143822055,0.681207823238695,2.829254269470561,2.9348743230745393,0.10007801787474484,1.0175428534915412,4.675339955923895,1.5643472670536136,0.21247638720715903,1.0355532092284172,2.8963568939412587,0.3408704346087847,0.3832948764933507,1.9922941956218647,0.4987813901317934,1.835971914239525,1.5373573610863691,,COMPLETE
74,0.36640547793093137,2026-04-16 10:47:14.436986,2026-04-16 10:49:39.945540,0 days 00:02:25.508554,0.900170468202482,0.2057156751657245,1.1801867024134836,1.0555994562657391,4.964308431663607,1.2774948210487644,0.18005587158003128,0.1489433952681554,0.7690189137018306,0.23504530714620664,0.13104838118210588,0.2669800962989177,0.10051923844640187,4.350497793254789,1.008786470841683,0.3655298870422444,3.6192066073665505,0.7743323846129136,2.1082659867074574,3.327099168100783,0.11616356463981603,1.1882516792577453,4.371516198906731,1.142728997982242,0.24613065644979187,0.9016621330482745,2.218873069212791,0.17000938319677872,0.42864227254012754,2.36957245298968,0.3943591634254837,2.4458835254842106,1.9897836718695348,,COMPLETE
75,0.366762815742598,2026-04-16 10:49:39.947649,2026-04-16 10:52:09.371165,0 days 00:02:29.423516,0.11125566715261523,0.22750652477875352,0.545661662340627,1.5151869004319551,4.106339151558735,0.6317131783855894,1.7810513480292878,0.24135412471398682,1.4368664330280114,0.294564349360995,0.16111308772727356,0.22531576745270948,1.1682592668214347,0.13412666922185734,0.8404478552609173,0.4756957072070762,4.336096327224731,1.0706516028841921,2.1624080373573995,4.3958666211349415,0.13362253664619236,0.9277638133300455,3.394005528579295,0.9128637181696867,0.30927147145065054,1.232604564387617,2.9751124397717197,0.24250623834530116,0.28307267618370047,2.9529024212090076,0.2591822161126841,3.731878329005926,0.977992353015896,,COMPLETE
76,0.35924060514466183,2026-04-16 10:52:09.373903,2026-04-16 10:54:28.350424,0 days 00:02:18.976521,0.16112096783702928,0.1153560842178675,0.8316307210813133,0.4439420847203286,0.16492927619031644,1.174491939810965,0.13467308602055736,0.1287279210308537,0.9420411173320601,0.3563999829788686,0.22599356315109173,0.3019904587526149,0.13887980141695452,0.8354626982865517,0.160844318831255,0.13338717356506294,2.8567439495259928,1.975289317931683,1.898989851121431,2.5862825493388417,0.19007928395778909,1.4039664560454812,0.13192387914154094,0.6495936533724503,0.20708727990486017,1.0767039747434188,3.6677624244308102,0.4494336455786898,0.5193316554236022,1.4032566334339522,0.6184502408382628,3.2367593276687865,0.8266869074519834,,COMPLETE
77,0.37816957836942244,2026-04-16 10:54:28.351191,2026-04-16 10:56:46.851270,0 days 00:02:18.500079,0.12438170147844034,0.29436658039052654,0.6140183299439071,0.9602225034746219,3.82583063582072,0.8615593156825432,0.20174293199441257,0.11161280187436838,0.4958096677185147,0.44359349243934404,0.15029651602041935,1.3305525793127018,0.12428400928528573,0.22473731359789662,0.13813747614400218,0.10979388494434009,3.5142665482773534,1.5572988920370292,3.029364272990147,0.10634456879315288,0.11172330848572888,1.715406674327771,4.389103331401854,0.6021713184463245,0.27293912269608417,0.12149958791243474,3.401800402745468,0.595509013227035,0.23678138354080255,2.473168370005933,0.7551002118212237,4.386885319655669,1.1566019563228147,,COMPLETE
