n_feats,features,r2,rmse
21,REVEAL_S70|REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.3219900490036215,0.03698161771654268
10,REVEAL_P150|EMAG2_LOG|BOUGUER|REVEAL_VP50VS80|GEOID|REVEAL_S90|MOHO|DEM|REVEAL_VP60VS70|REVEAL_VP90VS60,0.29851522715592504,0.03761637965572023
6,REVEAL_S70|LITH_RHO|DEM|CRUST_RHO|SI|REVEAL_VP90VS60,0.2721828264800288,0.038315899055803744
18,REVEAL_S70|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.30469405989297627,0.037450346544931436
9,REVEAL_S70|EMAG2_LOG|BOUGUER|LITH_RHO|DEM|REVEAL_VP60VS70|CTD|REVEAL_S80|REVEAL_VP90VS60,0.261581529186645,0.03859394261438656
11,REVEAL_S70|REVEAL_P150|BOUGUER|REVEAL_VP50VS80|LITH_RHO|MOHO|DEM|REVEAL_VP60VS70|CTD|SI|REVEAL_VP90VS60,0.29929390497101993,0.03759549597118074
12,EMAG2_LOG|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|DEM|FREE_AIR|REVEAL_VP60VS70|CRUST_RHO|CTD|LAB|SI|REVEAL_VP90VS60,0.28542069152172567,0.037965846649167884
21,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.2995096275408867,0.037589708365385305
15,REVEAL_S70|REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|MOHO_GRAV|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|REVEAL_VP60VS70|CTD|REVEAL_S80|SI|REVEAL_VP90VS60,0.3087063301365003,0.03734213640273562
12,REVEAL_S70|EMAG2_LOG|GEOID|REVEAL_S90|LITH_RHO|FREE_AIR|REVEAL_S100|CRUST_RHO|SEDIMENT|REVEAL_S80|LAB|SI,0.2949287710186217,0.03771241702071922
7,BOUGUER|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|LAB|REVEAL_VP90VS60,0.2858834687015024,0.03795355090201426
