run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
21,1000,25,5,0.5,True,0.3,0.2,24480,6120,0.027534697295261295,0.015063403852227644,0.437028545323905,0.9240196078431373,34.55622696876526
22,2000,50,10,log2,False,0.225,0.1,27264,3030,0.02318824220452205,0.014057062202083696,0.45308140099339667,0.9363036303630363,43.56185817718506
23,500,50,2,0.3,True,0.225,0.25,22720,7574,0.023550750993211834,0.014043468871311299,0.4447278012503758,0.8972801689992078,17.296711921691895
24,1000,None,7,0.3,True,0.2,0.1,27081,3010,0.021504583357907867,0.013295268686313758,0.47088068933934635,0.9322259136212625,27.133379220962524
25,1000,None,10,0.7,False,0.25,0.2,24333,6084,0.02542794638629483,0.014820829304694196,0.42517293884600227,0.9309664694280079,36.29857110977173
26,1500,25,5,0.7,False,0.225,0.25,22720,7574,0.023438193215441827,0.014108414051021532,0.45002282126326143,0.9248745709004489,55.85454487800598
27,500,15,2,log2,True,0.3,0.2,24480,6120,0.0281430452687339,0.015887189040535626,0.411877302733188,0.9361111111111111,10.368442058563232
28,1500,None,5,0.3,False,0.3,0.25,22950,7650,0.02788796057003997,0.015416831486829385,0.43171486236551826,0.9233986928104575,37.36850881576538
29,2000,15,7,0.7,False,0.35,0.15,26219,4628,0.03545212069673308,0.01831145273402048,0.383295172947392,0.9364736387208298,71.41539931297302
30,500,40,5,0.3,True,0.2,0.25,22568,7523,0.02218224604389143,0.013658672759588856,0.45238539052667437,0.9150604811910142,12.29599118232727
31,1000,None,2,0.7,False,0.35,0.15,26219,4628,0.034380003438011925,0.017224975647029496,0.42003105306294464,0.8958513396715644,59.448734998703
32,1500,50,2,0.3,False,0.3,0.15,26010,4590,0.02745274174991123,0.01502227808358939,0.4413801633978012,0.9013071895424837,60.037829875946045
33,1500,30,7,0.3,True,0.225,0.15,25749,4545,0.023248168401571723,0.013854295009052444,0.4553041361195064,0.9331133113311331,38.47858500480652
34,500,20,1,log2,False,0.25,0.1,27375,3042,0.025015389647150842,0.014319766829823454,0.4175434994703888,0.9184746877054569,17.72251296043396
35,2000,25,10,0.7,False,0.35,0.2,24677,6170,0.03513484337181392,0.01761706292199559,0.38801567045863383,0.9280388978930308,74.08316612243652
36,1000,40,2,log2,True,0.2,0.1,27081,3010,0.021333355035191633,0.012992237065421807,0.47927327361166516,0.8960132890365449,37.392350912094116
37,1000,30,2,sqrt,True,0.25,0.15,25854,4563,0.02513016238722665,0.01441624654325633,0.43817618949185067,0.9020381328073636,34.991801738739014
38,1500,15,10,log2,False,0.25,0.2,24333,6084,0.026210640107225448,0.01574067904194228,0.3892409855394584,0.9395134779750164,28.02236580848694
39,1000,50,1,0.4,True,0.3,0.2,24480,6120,0.02775430522725211,0.015138244128553559,0.42801257364242695,0.8666666666666667,55.877769947052
40,1500,50,10,log2,True,0.3,0.2,24480,6120,0.028223577534831738,0.015666695545675256,0.4085066213945484,0.9339869281045752,29.341901063919067
41,1500,30,5,0.5,True,0.2,0.1,27081,3010,0.02116462906580971,0.013027508574539827,0.4874775788173894,0.9225913621262458,58.174673080444336
42,1000,20,10,0.4,True,0.2,0.1,27081,3010,0.021782659857257216,0.013543716482703529,0.45710809479957415,0.9392026578073089,27.3633930683136
43,1500,20,5,0.3,False,0.225,0.1,27264,3030,0.022833860280472046,0.013692197973712199,0.46967058611672485,0.933993399339934,41.24277710914612
44,2000,20,2,0.3,False,0.225,0.1,27264,3030,0.022778740104777814,0.013533261513976292,0.47222789072972793,0.9283828382838284,66.7342598438263
45,1500,30,1,0.3,True,0.3,0.15,26010,4590,0.027794239335140376,0.015143510545243717,0.4273958517894505,0.8779956427015251,77.44816207885742
46,1000,None,2,0.7,False,0.35,0.2,24677,6170,0.034414813963651494,0.017144323584489227,0.4128418268785934,0.8928687196110211,55.411699056625366
47,1000,25,1,0.4,True,0.3,0.15,26010,4590,0.027764902499771697,0.015051554810148015,0.42860398186763193,0.893681917211329,50.007028102874756
48,1000,None,1,0.6,False,0.25,0.1,27375,3042,0.025320678393893074,0.014353397611121019,0.4032401076160552,0.87146614069691,72.67428779602051
49,1500,None,7,0.6,True,0.225,0.1,27264,3030,0.022857821899913082,0.013587843808280837,0.4685569575821691,0.9306930693069307,60.00032687187195
50,1000,25,5,0.7,False,0.2,0.25,22568,7523,0.022002683059262142,0.013550921187610228,0.4612152739035893,0.9175860693872125,36.82228708267212
51,1500,None,10,sqrt,True,0.2,0.15,25577,4514,0.02248337547034555,0.013930914336201897,0.43230003629075275,0.9306601683650864,30.772104024887085
52,2000,50,2,0.6,False,0.2,0.2,24072,6019,0.021664142842760338,0.013263086365004857,0.47398744488605304,0.8996511048346901,97.29665803909302
53,500,40,1,log2,False,0.225,0.25,22720,7574,0.023846024856244236,0.014284095988143824,0.43071676636148404,0.8787958806443095,21.9533109664917
54,1500,25,7,0.7,True,0.225,0.2,24235,6059,0.023504396916015108,0.014038308316047512,0.4500941936284236,0.9306816306321175,56.281604290008545
55,1000,20,5,0.4,False,0.25,0.1,27375,3042,0.02482900549030543,0.014303922471887463,0.4261906750276926,0.9368836291913215,30.42059588432312
56,1000,40,5,0.6,False,0.2,0.15,25577,4514,0.021581065654713957,0.013289592962397638,0.4769519203190291,0.9191404519273372,41.25316905975342
57,1000,50,5,0.4,False,0.225,0.25,22720,7574,0.02346989866959755,0.014134301050937064,0.4485338779820538,0.9243464483760232,26.929913997650146
58,1000,40,7,sqrt,False,0.2,0.1,27081,3010,0.021519010500859085,0.013358051160296732,0.47017049277576406,0.9365448504983389,22.65579605102539
59,2000,40,3,sqrt,False,0.3,0.2,24480,6120,0.0274097240828215,0.015015089826456073,0.4421273256279895,0.9151960784313725,55.086604833602905
60,500,20,2,log2,False,0.225,0.25,22720,7574,0.023484666786077104,0.014166103623707887,0.4478396544298687,0.923950356482704,12.165260076522827
61,1000,15,2,0.6,True,0.225,0.2,24235,6059,0.023807444079830056,0.014508793998790983,0.4358226762053944,0.9366232051493646,32.382729053497314
62,1000,30,1,0.3,True,0.225,0.15,25749,4545,0.023462728309528825,0.01387378919766516,0.44520362454735374,0.8836083608360836,49.97659492492676
63,1000,50,3,0.7,False,0.2,0.1,27081,3010,0.021038188290563038,0.01287812361513006,0.49358306342504377,0.9116279069767442,50.76206111907959
64,1000,30,3,0.3,False,0.35,0.2,24677,6170,0.03429445474024179,0.017098087165383104,0.4169415918567787,0.9116693679092382,30.674416303634644
65,2000,20,3,0.5,False,0.25,0.1,27375,3042,0.024657154346817145,0.014119698847833984,0.4341062985873242,0.930637738330046,76.16328120231628
66,2000,15,5,0.5,False,0.3,0.1,27540,3060,0.027702173304456172,0.01577974319422735,0.42936575525473464,0.9408496732026144,62.30335879325867
67,500,15,7,log2,False,0.25,0.2,24333,6084,0.026045598267266136,0.015621607113874359,0.3969083627901384,0.938198553583169,8.810315132141113
68,1000,25,3,0.6,True,0.3,0.2,24480,6120,0.027483162189799723,0.014932956752874912,0.439133935638642,0.9148692810457516,40.67677593231201
69,1500,20,3,0.6,False,0.3,0.1,27540,3060,0.027049421178516435,0.014949545649880195,0.45594087397336225,0.9284313725490196,62.83676481246948
70,2000,50,10,0.4,True,0.25,0.1,27375,3042,0.02525874021542324,0.014485695627301162,0.4061560652831431,0.9355687047994741,56.12085509300232
71,1000,None,1,0.6,True,0.2,0.25,22568,7523,0.022310987678658988,0.013615340481396551,0.44601043763157044,0.8641499401834375,58.2941951751709
72,500,15,2,0.6,False,0.2,0.1,27081,3010,0.021357010808388567,0.013445530834372565,0.4781178038871343,0.932890365448505,17.93048119544983
73,1000,None,1,log2,True,0.3,0.25,22950,7650,0.028524725260117446,0.015519862800948903,0.4054673265716694,0.8682352941176471,43.930893898010254
74,1500,None,3,0.3,False,0.25,0.25,22812,7605,0.02523921947277813,0.0145977688006037,0.44138620686177665,0.9155818540433925,42.799782037734985
75,1000,25,1,log2,False,0.25,0.1,27375,3042,0.025125753396462423,0.014269032168314261,0.4123927594609995,0.9020381328073636,43.70936322212219
76,1000,25,7,0.5,False,0.35,0.1,27762,3085,0.03480952425634853,0.01753906209652019,0.4449773935247302,0.9312803889789303,36.41554379463196
77,2000,25,2,0.3,False,0.35,0.1,27762,3085,0.03414287638826648,0.01721133468244293,0.46603264257310073,0.9173419773095624,75.38227987289429
78,1500,None,1,0.3,False,0.25,0.25,22812,7605,0.025830745703839683,0.014812006206606164,0.4148951439234386,0.8790269559500329,70.12306118011475
79,2000,40,1,0.6,False,0.25,0.1,27375,3042,0.025254271336481688,0.014303348512369037,0.4063661772578323,0.8721236028928336,141.05414295196533
80,500,30,1,log2,True,0.35,0.15,26219,4628,0.03430343088261859,0.017343044815688123,0.4226116373748232,0.8729472774416595,23.252660989761353
81,1000,40,10,0.4,True,0.2,0.2,24072,6019,0.02244952185573207,0.013892428240455572,0.43515761223752014,0.9275627180594783,24.50324583053589
82,1500,None,10,log2,False,0.35,0.2,24677,6170,0.035526838986465796,0.017877571808782137,0.3742838081587,0.9309562398703404,29.21659207344055
83,1000,50,2,0.6,False,0.3,0.15,26010,4590,0.027526434352408025,0.015050737849922021,0.43837708254021046,0.8978213507625272,52.962920904159546
84,1000,25,3,0.5,False,0.225,0.15,25749,4545,0.02301518621701134,0.013613436901278123,0.46616680210746053,0.9243124312431243,39.19699668884277
85,500,40,7,0.6,True,0.2,0.15,25577,4514,0.02195776329197238,0.013503414169307329,0.45853294440454273,0.9229065130704475,18.200886964797974
86,500,15,5,0.7,False,0.35,0.2,24677,6170,0.03529114298069693,0.01814995267712106,0.38255865621227647,0.9311183144246353,16.726184844970703
