run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed
57,1000,50,5,0.4,False,0.225,0.25,2163,722,0.037685151404116754,0.026526722862283417,0.33145014472932,0.8878116343490304,3.309335947036743
58,1000,40,7,sqrt,False,0.2,0.1,2523,281,0.03371480631426586,0.024631776028269783,0.27824384416179615,0.9074733096085409,2.885209798812866
59,2000,40,3,sqrt,False,0.3,0.2,2413,604,0.04236160250271844,0.028197150751243853,0.37705224366295775,0.8940397350993378,6.1689772605896
60,500,20,2,log2,False,0.225,0.25,2163,722,0.037880569497045394,0.02635374999877662,0.324498575200725,0.8725761772853186,1.5587859153747559
61,1000,15,2,0.6,True,0.225,0.2,2308,577,0.0378501369208293,0.026922761314271806,0.3073208844611304,0.8821490467937608,3.9103260040283203
62,1000,30,1,0.3,True,0.225,0.15,2452,433,0.03877634113442845,0.026945630426745065,0.29902683874320124,0.8198614318706697,6.304379940032959
63,1000,50,3,0.7,False,0.2,0.1,2523,281,0.03315452324714313,0.024020067519696504,0.3020332516207612,0.8718861209964412,5.850301265716553
64,1000,30,3,0.3,False,0.35,0.2,2504,627,0.06133513449718192,0.03623882555997267,0.31675152873121515,0.8947368421052632,3.5019052028656006
65,2000,20,3,0.5,False,0.25,0.1,2643,294,0.03705501450463323,0.02555435399917543,0.3820556240440468,0.8945578231292517,9.843755960464478
66,2000,15,5,0.5,False,0.3,0.1,2715,302,0.04124563438735259,0.027281360297532527,0.3856804982926352,0.9039735099337748,7.87325119972229
67,500,15,7,log2,False,0.25,0.2,2349,588,0.03976634687261663,0.027622223516493627,0.31142580779886764,0.9115646258503401,1.5541470050811768
68,1000,25,3,0.6,True,0.3,0.2,2413,604,0.04226553072798828,0.028194065672873584,0.37987460300544684,0.8824503311258278,4.648712158203125
69,1500,20,3,0.6,False,0.3,0.1,2715,302,0.042277187467018446,0.02808047945651923,0.35456798712440063,0.8973509933774835,8.3919358253479
70,2000,50,10,0.4,True,0.25,0.1,2643,294,0.038186632398203676,0.026406113545677387,0.34373668220227416,0.9217687074829932,7.014759063720703
71,1000,None,1,0.6,True,0.2,0.25,2103,701,0.03513356498134635,0.025101909437363464,0.2881531472545371,0.8273894436519258,6.7076568603515625
72,500,15,2,0.6,False,0.2,0.1,2523,281,0.03281943205040873,0.02393597679680729,0.3160705877343194,0.8896797153024911,2.2788150310516357
73,1000,None,1,log2,True,0.3,0.25,2262,755,0.046874606900536894,0.030640071660961554,0.2893511915538952,0.8357615894039735,5.2121171951293945
74,1500,None,3,0.3,False,0.25,0.25,2202,735,0.039945298745870966,0.02763207035547726,0.3010923640387132,0.8775510204081632,4.792991399765015
75,1000,25,1,log2,False,0.25,0.1,2643,294,0.03786952274920097,0.026129786551743847,0.3545909175141637,0.8571428571428571,5.868161916732788
76,1000,25,7,0.5,False,0.35,0.1,2817,314,0.06049893226727992,0.03696887355651649,0.36789020314119114,0.910828025477707,4.343748092651367
77,2000,25,2,0.3,False,0.35,0.1,2817,314,0.059896100812151985,0.03645328099964968,0.3804245462050705,0.8694267515923567,9.512434959411621
78,1500,None,1,0.3,False,0.25,0.25,2202,735,0.04120331616486174,0.028755500634536035,0.25637705832345425,0.8380952380952381,8.36061692237854
79,2000,40,1,0.6,False,0.25,0.1,2643,294,0.03774053048266163,0.02600102386842183,0.3589802514874466,0.8605442176870748,16.00303292274475
80,500,30,1,log2,True,0.35,0.15,2661,470,0.06315412075456908,0.0375566463942037,0.27279299595963935,0.8340425531914893,2.680372953414917
81,1000,40,10,0.4,True,0.2,0.2,2243,561,0.034995759299169406,0.0253171810581922,0.31045560359821156,0.8877005347593583,3.064521312713623
82,1500,None,10,log2,False,0.35,0.2,2504,627,0.06228909359614929,0.037448223052742216,0.2953328156906231,0.9234449760765551,3.2679429054260254
83,1000,50,2,0.6,False,0.3,0.15,2564,453,0.04298171660043705,0.028386960169088236,0.3345532480835288,0.8609271523178808,5.597203969955444
84,1000,25,3,0.5,False,0.225,0.15,2452,433,0.03795678967981236,0.02657974689511456,0.3283443350446814,0.8568129330254042,4.24111795425415
85,500,40,7,0.6,True,0.2,0.15,2383,421,0.03313035607746416,0.024196290911595038,0.33795490363579217,0.8859857482185273,2.5152838230133057
86,500,15,5,0.7,False,0.35,0.2,2504,627,0.06125578554212592,0.03669267925932787,0.3185182154373821,0.9043062200956937,2.3361902236938477
87,1000,20,10,0.3,False,0.25,0.15,2496,441,0.03954303120380759,0.027242534076633074,0.31698118303608436,0.9160997732426304,2.7000560760498047
