feature,sigma,cv_r2
GEOID,1.6351214022614597,0.33906523168419056
GEOID,2.1622455073017246,0.33892715940384044
GEOID,2.8593018398391052,0.3387493202753121
GEOID,3.7810724932478514,0.3388276398851134
GEOID,5.000000000000001,0.3395106819662191
REVEAL_S50,0.1,0.33494274284081715
REVEAL_S50,0.13223761271250095,0.3404889909905993
REVEAL_S50,0.174867862159014,0.34203942659282544
REVEAL_S50,0.23124108632046694,0.34223005066476764
REVEAL_S50,0.3057876921606392,0.34253262692869446
REVEAL_S50,0.4043663440818807,0.3429307379843123
REVEAL_S50,0.5347244000266965,0.34386066699899887
REVEAL_S50,0.7071067811865475,0.3432175190591501
REVEAL_S50,0.9350611267692983,0.3436164119300935
REVEAL_S50,1.2365025114423323,0.34388764786119674
REVEAL_S50,1.6351214022614597,0.34369434081634215
REVEAL_S50,2.1622455073017246,0.3437750742603517
REVEAL_S50,2.8593018398391052,0.3436217912390506
REVEAL_S50,3.7810724932478514,0.3436297505381553
REVEAL_S50,5.000000000000001,0.3436140043653169
REVEAL_S100,0.1,0.3427376180498258
REVEAL_S100,0.13223761271250095,0.34259463880082025
REVEAL_S100,0.174867862159014,0.340695043284513
REVEAL_S100,0.23124108632046694,0.34158977845144
REVEAL_S100,0.3057876921606392,0.34243571038909304
REVEAL_S100,0.4043663440818807,0.34145901740653584
REVEAL_S100,0.5347244000266965,0.34195009434297935
REVEAL_S100,0.7071067811865475,0.34271062324527723
REVEAL_S100,0.9350611267692983,0.3421053378644438
REVEAL_S100,1.2365025114423323,0.3413650157418841
REVEAL_S100,1.6351214022614597,0.34143638226119444
REVEAL_S100,2.1622455073017246,0.3411668830381383
REVEAL_S100,2.8593018398391052,0.3417609067204495
REVEAL_S100,3.7810724932478514,0.3417489830349585
REVEAL_S100,5.000000000000001,0.3418129398051605
REVEAL_S140,0.1,0.3332051660089843
REVEAL_S140,0.13223761271250095,0.3372791314977811
REVEAL_S140,0.174867862159014,0.33913857468601166
REVEAL_S140,0.23124108632046694,0.338317015208895
REVEAL_S140,0.3057876921606392,0.34179490373889526
REVEAL_S140,0.4043663440818807,0.3419033532640812
REVEAL_S140,0.5347244000266965,0.34128654892512755
REVEAL_S140,0.7071067811865475,0.3415009758780767
REVEAL_S140,0.9350611267692983,0.34175913716737594
REVEAL_S140,1.2365025114423323,0.34185192552393373
REVEAL_S140,1.6351214022614597,0.341928645246825
REVEAL_S140,2.1622455073017246,0.34173388447964814
REVEAL_S140,2.8593018398391052,0.34169741138131016
REVEAL_S140,3.7810724932478514,0.3419614844693954
REVEAL_S140,5.000000000000001,0.3422374068383581
REVEAL_S200,0.1,0.33539771465203694
REVEAL_S200,0.13223761271250095,0.33890181911533696
REVEAL_S200,0.174867862159014,0.34081197368263716
REVEAL_S200,0.23124108632046694,0.34026064597419053
REVEAL_S200,0.3057876921606392,0.34142111892787563
REVEAL_S200,0.4043663440818807,0.3420386192582708
REVEAL_S200,0.5347244000266965,0.3416718128355789
REVEAL_S200,0.7071067811865475,0.3420753269971863
REVEAL_S200,0.9350611267692983,0.3425863413815985
REVEAL_S200,1.2365025114423323,0.3427502270934372
REVEAL_S200,1.6351214022614597,0.34296074673545995
REVEAL_S200,2.1622455073017246,0.34265775403138266
REVEAL_S200,2.8593018398391052,0.34265775403138266
REVEAL_S200,3.7810724932478514,0.3427127112620737
REVEAL_S200,5.000000000000001,0.34272197371668456
REVEAL_S220,0.1,0.33765015464633524
REVEAL_S220,0.13223761271250095,0.34033801932630403
REVEAL_S220,0.174867862159014,0.3430339750594947
REVEAL_S220,0.23124108632046694,0.3411774071389797
REVEAL_S220,0.3057876921606392,0.3411101007967141
REVEAL_S220,0.4043663440818807,0.3399318574325038
REVEAL_S220,0.5347244000266965,0.340307601970627
REVEAL_S220,0.7071067811865475,0.33964627244188994
REVEAL_S220,0.9350611267692983,0.3386914499005435
REVEAL_S220,1.2365025114423323,0.337730567041998
REVEAL_S220,1.6351214022614597,0.33793232695782327
REVEAL_S220,2.1622455073017246,0.33793007293534055
REVEAL_S220,2.8593018398391052,0.33782881610370086
REVEAL_S220,3.7810724932478514,0.33739701850143977
REVEAL_S220,5.000000000000001,0.33732734297247646
REVEAL_P40,0.1,0.33177473296236315
REVEAL_P40,0.13223761271250095,0.3363288492229236
REVEAL_P40,0.174867862159014,0.34067956683668327
REVEAL_P40,0.23124108632046694,0.3424876774583937
REVEAL_P40,0.3057876921606392,0.3419667925211164
REVEAL_P40,0.4043663440818807,0.3413693824563511
REVEAL_P40,0.5347244000266965,0.34039058330694816
REVEAL_P40,0.7071067811865475,0.3411336179788772
REVEAL_P40,0.9350611267692983,0.34208367362580455
REVEAL_P40,1.2365025114423323,0.34191240669761164
REVEAL_P40,1.6351214022614597,0.34170275335483125
REVEAL_P40,2.1622455073017246,0.34169741138131016
REVEAL_P40,2.8593018398391052,0.3416933746993873
REVEAL_P40,3.7810724932478514,0.3416933746993873
REVEAL_P40,5.000000000000001,0.3416933746993873
REVEAL_P60,0.1,0.33210534518677076
