number,value,datetime_start,datetime_complete,duration,params_BOUGUER,params_CRUST_RHO,params_CTD,params_DEM,params_EMAG2_LOG,params_FREE_AIR,params_GEOID,params_LAB,params_LITH_RHO,params_MAG_SEIS_MOHO,params_MOHO,params_MOHO_GRAV,params_P_DIFF_40_60,params_REVEAL_P120,params_REVEAL_P210,params_REVEAL_P40,params_REVEAL_P60,params_REVEAL_S100,params_REVEAL_S140,params_REVEAL_S200,params_REVEAL_S220,params_REVEAL_S50,params_SEDIMENT,params_SI,params_S_DIFF_200_220,params_VOLC_DIST,params_VPVS_DIFF,params_VP_120_VS_140,params_VP_40_VS_50,system_attrs_fixed_params,state
233,0.32578173506284136,2026-04-12 23:36:20.319112,2026-04-12 23:36:23.267498,0 days 00:00:02.948386,0.10106494080646491,0.28959307618445695,0.7550610608827719,0.12063519975219211,0.9133552292896729,0.195433650640797,0.1277471060336343,4.794457131723587,0.8753946564074435,4.467879517049387,0.14964503442621022,2.2048170407500947,0.17317766456252778,1.3054058826534256,0.23850534540256726,4.164989469508515,0.8690400779897877,0.9645102082925412,3.0440225157009917,0.605341318064246,0.19414516914672786,0.3664308455630467,3.210837273599739,3.854029862757585,1.093434766058143,0.2037646256088532,1.2128036337660197,1.9427606443223115,0.11647197236346384,,COMPLETE
234,0.3278465471769182,2026-04-12 23:36:23.268415,2026-04-12 23:36:25.899742,0 days 00:00:02.631327,0.12336963871890201,0.2659495786717087,0.6376914949808258,0.1258720875328274,0.9493118349922914,0.2127183166564774,1.583467377234888,4.109816658334582,0.9330239277489967,3.8317897494333444,0.13904597446476963,2.448315214679878,0.1897695997432602,1.344837469150998,0.21721359315557337,3.98338018964926,0.35401213863475794,0.9311487497735217,3.8963631171030695,0.6588128484650634,0.16109907652459046,0.3153380149126219,1.3637691809440646,4.018429298428799,1.2030107996667392,0.1923033336274704,1.2970409239392025,1.7925722005992433,0.13510497311403316,,COMPLETE
235,0.32713457502992027,2026-04-12 23:36:25.900631,2026-04-12 23:36:28.660387,0 days 00:00:02.759756,0.11635464355974856,0.23991702076924787,0.8069000043809919,0.11159234102285845,0.8474787981733185,0.18839390975393272,0.1324065246038516,3.744419335699855,1.0730548273619778,4.275498648098421,0.15418203615009377,1.9350454077451653,0.21177032542576057,1.17569535408602,0.20774730540137484,3.3126109567323687,0.8102015227490252,1.0354768228681837,4.378480675904535,0.7329654648233848,0.2214200123625571,0.39890709154109083,1.7049765611585381,4.87653542839469,1.3042398653652734,0.16132872660312436,1.1253533765953765,1.9944414170158655,0.12310537034442261,,COMPLETE
236,0.3265474531522636,2026-04-12 23:36:28.661266,2026-04-12 23:36:31.287432,0 days 00:00:02.626166,0.10713333300717016,0.21957541693508248,0.8693222472685798,0.10110606230358712,0.9957119504810334,0.20632054028899519,0.11387724274278462,4.693851554900649,0.8117541520019,4.654745647213091,0.1340166781665551,2.594495240059286,0.1698632463348549,1.6408292195304164,0.233738357488276,4.400887097966325,0.75280278702227,0.872191525257158,3.157960201428497,0.662236335953691,0.1484347802918064,0.3495124909660761,1.4406124773576106,3.4212998674201183,1.020042933915014,0.21443584764678564,0.9432790928477498,1.7112409370123929,0.11316897148814525,,COMPLETE
237,0.32556764038839725,2026-04-12 23:36:31.288292,2026-04-12 23:36:33.981339,0 days 00:00:02.693047,0.12475251413480043,0.3094399350118173,0.9569043372994542,0.13369022793310584,1.0178030596846048,0.18117866850630257,1.1375018992683286,2.6830686009204783,0.8195966069058849,4.1514655934247795,0.1429309488102337,1.7435000858232017,0.22119118454282455,1.5391694005353767,0.25351739134225326,3.6405878736985007,0.8876735277976908,1.1124439144726868,3.625280906049831,0.5989216627689075,0.19049266237612883,0.4234206353541274,1.1576000674208082,3.0544174317277952,1.179473830740773,0.1919076722045612,1.2550160747570938,1.8518717058006173,0.13657172069257542,,COMPLETE
238,0.3239269857658162,2026-04-12 23:36:33.983647,2026-04-12 23:36:36.920791,0 days 00:00:02.937144,0.10014569977201386,0.25617262986033995,0.8037438084330715,0.1205387962249852,0.9043648978630693,0.19325534407114117,0.1369353134440398,3.738757115399349,0.7297089867529224,3.696947867804453,0.12621188995645174,2.0528429782030115,0.1533194959001191,1.404118030390073,0.29855800719732867,4.154811920823446,0.8178225888157382,0.9545200152756861,2.9059324522367596,0.7493760925900613,0.19948671914299035,0.2785369673152803,1.3046054556252107,2.821489306144647,1.3751958645351878,0.1472067039776515,1.1459553034241,1.4872878078716758,0.11379527204600315,,COMPLETE
239,0.32617387052428876,2026-04-12 23:36:36.921844,2026-04-12 23:36:39.553042,0 days 00:00:02.631198,0.11462461086393137,0.23256693263007455,0.915798445746722,0.1108774197593889,1.0457074790303336,0.21143989450804,0.1264626634548417,3.078542993298738,1.245183184194212,4.4710867834155215,0.13493591692019988,1.9475443486215351,0.16215755020253403,1.9427475783910255,0.22170673478498673,4.395241007904166,0.9616728274676973,1.1886448004073569,4.782912540435334,0.6695743685037886,0.17300729771493809,0.3784861341570944,4.3613422798421695,4.2103681253936,1.2837810925266278,0.1773387948744164,1.0256021617519089,2.048982924860996,0.11984717556069069,,COMPLETE
240,0.3252317897687324,2026-04-12 23:36:39.553768,2026-04-12 23:36:42.520671,0 days 00:00:02.966903,0.1158903893564906,0.33667422859466645,0.7671323806415341,0.12447035770908568,1.0968217529921425,0.177823186186846,0.1523708079258617,4.350585852635445,1.0371501848096025,3.9751514870410896,0.12078443843112079,1.650871043393649,0.14517186467094353,1.051271075509969,0.2711746976681044,3.8366708791918485,0.7304003855770423,0.8682321821215162,4.266113629140731,0.6159416874857381,0.2229784817937691,0.4055080305611977,1.9040460594759987,4.507620858145122,1.1201709859768845,0.20126516444016343,1.3282699462336658,1.6328947753707923,0.10002820827024715,,COMPLETE
241,0.32763874850582153,2026-04-12 23:36:42.521555,2026-04-12 23:36:45.349973,0 days 00:00:02.828418,0.12720821200539703,0.267182668589121,1.1310563781404945,0.12977763575515405,0.9420217864831867,0.2096581930001318,1.9983495169380663,4.113943960019468,0.9287638687253668,3.774431461464105,0.13921882830825386,2.44349012988125,0.1875902573744045,1.4362257419732833,0.21722505100287054,4.0223832788578,0.6042602467208797,0.9871430634795556,3.874181399444327,0.6655450468471057,0.16188728686061024,0.32146992134003866,1.398601615534385,4.999783920279415,1.2173874706092342,0.18980806790479163,1.2518260680479376,1.820366735732209,0.136706991948709,,COMPLETE
242,0.3214696337097105,2026-04-12 23:36:45.350753,2026-04-12 23:36:48.360116,0 days 00:00:03.009363,0.12188030499023243,0.27435822159177936,0.6925705927212296,0.11753012910114483,0.9602421082056414,0.2208372399574547,1.5586642555321026,4.293258007648238,0.9117625716110296,4.668314354076142,0.13944964636122076,2.7879260854974,0.225069245479774,1.3151431317852167,0.20309112497748696,4.510423596109232,0.3402267378951257,0.7820520953762865,3.4458297485070517,0.7092299308832234,0.1498895620934441,0.30087696656451607,1.3336687164547325,4.150951574431751,1.1774464125448165,0.16769667330790589,1.3390898521685526,1.8301430922359094,0.12728370865091135,,COMPLETE
