label,n_feats,rmse,mae,r2,picp,elapsed,feat_names
mc0202,11,0.0627878797808679,0.037409082826122035,0.284002244486669,0.8708133971291866,6.488492012023926,"MOHO_GRAV,MOHO_GRAV_U,MOHO_U,DEM,CTD,EMAG2_LOG,REVEAL_P60,MAG_SEIS_MOHO,P_DIFF_40_60,VP_40_VS_50,VOLC_DIST"
mc0203,11,0.06165547068364227,0.036500045874428004,0.3095960620413547,0.8915470494417863,6.417432069778442,"MOHO_GRAV_U,CTD,EMAG2_LOG,FREE_AIR,SI,GEOID,REVEAL_S100,CRUST_RHO,VPVS_DIFF,SEDIMENT,VOLC_DIST"
mc0204,12,0.06322834844606223,0.037916762055463356,0.2739212931171805,0.8676236044657097,6.387379884719849,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,BOUGUER,REVEAL_S140,REVEAL_S200,REVEAL_P60,REVEAL_P120,MAG_SEIS_MOHO,VP_120_VS_140,GLiM"
mc0205,33,0.061967734591853986,0.03674617471340218,0.30258503220381483,0.861244019138756,7.510601997375488,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,VOLC_DIST,REG,GLiM,TC1"
mc0206,21,0.06302227992277258,0.037087789946751826,0.27864633031698094,0.8692185007974481,7.002256155014038,"MOHO_GRAV,MOHO_U,LAB,CTD,BOUGUER,SI,REVEAL_S50,REVEAL_S100,REVEAL_S200,REVEAL_S220,REVEAL_P60,REVEAL_P210,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG"
mc0207,24,0.06283685349015906,0.03675713341829716,0.28288487147786334,0.8708133971291866,7.198040723800659,"MOHO_GRAV,MOHO,MOHO_U,CTD,EMAG2_LOG,SI,GEOID,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,SEDIMENT,VOLC_DIST,REG,TC1"
mc0208,13,0.06180646472991988,0.03651133008333119,0.30621032730799136,0.8740031897926634,6.419389247894287,"MOHO_U,DEM,LAB,SI,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_P40,REVEAL_P60,CRUST_RHO,VPVS_DIFF,VOLC_DIST,GLiM"
mc0209,26,0.06215619602371816,0.03691026200065563,0.29833650864283456,0.8740031897926634,7.164340019226074,"MOHO_GRAV,MOHO_GRAV_U,MOHO_U,DEM,LAB,EMAG2_LOG,FREE_AIR,SI,GEOID,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P120,REVEAL_P210,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,REG,GLiM,TC1"
mc0210,33,0.06208538851855443,0.03665213121186945,0.2999342493456688,0.8692185007974481,7.730907917022705,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG,GLiM,TC1"
mc0211,29,0.06202741502615364,0.03644521905595039,0.3012410401636003,0.8755980861244019,8.007668018341064,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P210,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG,TC1"
mc0212,31,0.06263783813840428,0.03686473255579107,0.2874201372291383,0.8692185007974481,8.185309886932373,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,DEM,LAB,CTD,FREE_AIR,BOUGUER,SI,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG,GLiM,TC1"
mc0213,18,0.0623097239136295,0.036873249290873246,0.29486596300994217,0.8771929824561403,7.493465185165405,"MOHO_GRAV,MOHO_U,LAB,CTD,EMAG2_LOG,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,S_DIFF_200_220,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST"
mc0214,30,0.06194809414693046,0.03654550767228828,0.303027048348559,0.8708133971291866,8.143694162368774,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,SI,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,LITH_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,VP_40_VS_50,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG,GLiM,TC1"
mc0215,18,0.06401615725477493,0.037849554408485704,0.2557150685110441,0.8803827751196173,6.96325421333313,"MOHO_GRAV_U,MOHO_U,CTD,EMAG2_LOG,BOUGUER,GEOID,REVEAL_S50,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P120,REVEAL_P210,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_120_VS_140,SEDIMENT"
mc0216,22,0.06214551442812094,0.036912725292487306,0.29857765086639954,0.8692185007974481,7.118534088134766,"MOHO_GRAV,MOHO,MOHO_U,LAB,CTD,SI,GEOID,REVEAL_S50,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P120,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,VP_40_VS_50,VP_120_VS_140,SEDIMENT,VOLC_DIST,REG,TC1"
mc0217,25,0.06194826494670779,0.03655294674559641,0.30302320503454927,0.8740031897926634,7.168159008026123,"MOHO_GRAV_U,MOHO,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_P60,REVEAL_P120,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VOLC_DIST,REG,GLiM,TC1"
mc0218,29,0.06204647981289767,0.036478632248944674,0.3008114321320261,0.8724082934609251,7.412515878677368,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,DEM,EMAG2_LOG,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG,GLiM,TC1"
mc0219,29,0.06177759143170025,0.03640585682342008,0.3068583927545172,0.8755980861244019,7.347445011138916,"MOHO_GRAV,MOHO_GRAV_U,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S220,REVEAL_P40,REVEAL_P120,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG,GLiM,TC1"
